rank,player,year,age,team,league,games,games_started,games_completed,innings,chances,putouts,assists,errors,double_plays,fielding_percentage,tz_runs,tz_runs_rate,drs,drs_rate,range_9,lg_range_9,range_g,lg_range_g
189,Josh Bell,,31,2TM,NL,98,97,53,813,739,685,47,7,58,0.991,-5,-7,-9,-13,8.1,8.29,7.47,8.18
189,Josh Bell,,31,MIA,NL,67,67,38,561,511,472,32,7,39,0.986,-5,-10,-7,-15,8.09,8.29,7.52,8.18
189,Josh Bell,,31,ARI,NL,31,30,15,252,228,213,15,0,19,1,0,1,-2,-10,8.14,8.29,7.35,8.18
190,Thairo Estrada,,28,SFG,NL,94,93,90,811.2,387,121,264,2,63,0.995,-5,-7,-7,-10,4.27,4.15,4.1,4.09
191,Lenyn Sosa,,24,CHW,AL,97,91,84,807.1,288,115,167,6,42,0.979,-8,-11,-9,-13,3.14,3.18,2.79,3.23
192,Nick Gonzales,,25,PIT,NL,93,91,87,806.1,401,153,241,7,64,0.983,-1,-1,-5,-7,4.4,4.1,4.15,4.03
193,Max Kepler,,31,MIN,AL,103,88,84,806.1,176,172,4,0,1,1,0,0,0,0,1.96,2.27,1.71,2.24
194,Anthony Rizzo,,34,NYY,AL,92,91,83,801.2,679,602,74,3,58,0.996,1,1,2,3,7.59,8.03,7.35,7.92
195,Tyler O'Neill,,29,BOS,AL,95,90,59,799.2,162,151,4,7,0,0.957,-2,-3,1,2,1.74,2.27,1.63,2.24
196,Spencer Torkelson,,24,DET,AL,90,90,85,799.2,763,701,58,4,59,0.995,4,5,2,3,8.54,8.03,8.43,7.92
197,Jonny DeLuca,,25,TBR,AL,97,87,69,794,227,219,6,2,2,0.991,5,8,5,8,2.55,2.27,2.32,2.24
198,Jake Cave,,31,COL,NL,116,83,61,790.2,190,184,5,1,1,0.995,-9,-13,-6,-9,2.15,2.21,1.63,2.18
