player,year,age,team,league,games,games_started,games_completed,innings,chances,putouts,assists,errors,double_plays,fielding_percentage,tz_runs,tz_runs_rate,drs,drs_rate,range_9,lg_range_9,range_g,lg_range_g
Martín Maldonado,2024,37,CHW,AL,48,46,35,388.2,391,378,11,2,0,0.995,-5.0,-15.0,-7,-22.0,9.01,9.16,8.1,9.03
Daz Cameron,2024,27,OAK,AL,58,45,24,384.1,86,83,3,0,0,1.0,-4.0,-13.0,-4,-12.0,2.01,2.27,1.48,2.24
Christian Bethancourt,2024,32,2TM,NL,60,42,33,384.1,366,341,20,5,2,0.986,2.0,6.0,-3,-9.0,8.45,9.06,6.02,8.94
Christian Bethancourt,2024,32,MIA,NL,36,25,20,230.1,220,206,10,4,2,0.982,0.0,0.0,-3,-16.0,8.44,9.06,6.0,8.94
Christian Bethancourt,2024,32,CHC,NL,24,17,13,154.0,146,135,10,1,0,0.993,2.0,16.0,0,0.0,8.47,9.06,6.04,8.94
Corey Julks,2024,28,CHW,AL,55,42,31,383.0,82,80,1,1,1,0.988,-4.0,-12.0,-4,-13.0,1.9,2.27,1.47,2.24
Luke Maile,2024,33,CIN,NL,52,44,31,381.2,421,402,18,1,0,0.998,5.0,16.0,-5,-16.0,9.9,8.99,8.08,8.5
Tyler Wade,2024,29,SDP,NL,72,38,20,381.2,104,48,53,3,5,0.971,-8.0,-26.0,-5,-16.0,2.38,3.01,1.26,2.93
Randal Grichuk,2024,32,ARI,NL,57,46,20,381.0,98,97,1,0,0,1.0,2.0,7.0,3,9.0,2.31,2.21,1.72,2.18
Brett Baty,2024,24,NYM,NL,47,43,33,380.0,122,33,87,2,10,0.984,1.0,3.0,-1,-3.0,2.84,2.55,2.55,2.51
Victor Scott II,2024,23,STL,NL,52,40,37,376.0,97,95,0,2,0,0.979,-5.0,-15.0,-1,-3.0,2.27,2.21,1.83,2.18
Sam Hilliard,2024,30,COL,NL,52,41,35,372.0,82,78,1,3,0,0.963,-11.0,-34.0,-2,-6.0,1.91,2.21,1.52,2.18
Brooks Lee,2024,23,MIN,AL,47,40,35,371.0,130,48,78,4,9,0.969,0.0,0.0,1,3.0,3.06,3.43,2.47,3.4
Austin Barnes,2024,34,LAD,NL,47,42,38,368.2,383,368,10,5,2,0.987,-4.0,-13.0,2,7.0,9.23,9.03,8.04,8.73
Jordan Walker,2024,22,STL,NL,48,46,22,367.1,67,64,2,1,1,0.985,-1.0,-2.0,-4,-13.0,1.62,2.21,1.38,2.18
Matt Thaiss,2024,29,LAA,AL,46,41,35,366.2,327,313,10,4,1,0.988,0.0,0.0,-2,-7.0,7.93,9.16,7.02,9.03
José Tena,2024,23,2TM,2LG,43,42,37,365.1,114,30,74,10,20,0.912,-2.0,-6.0,-2,-7.0,2.56,2.84,2.31,2.79
José Tena,2024,23,CLE,AL,2,1,0,10.0,3,2,0,1,0,0.667,-4.0,-468.0,0,0.0,1.8,2.43,1.0,2.45
José Tena,2024,23,WSN,NL,41,41,37,355.1,111,28,74,9,20,0.919,2.0,7.0,-2,-7.0,2.58,2.85,2.37,2.8
Reese McGuire,2024,29,BOS,AL,48,41,34,361.1,397,381,10,6,2,0.985,0.0,0.0,4,13.0,9.74,9.16,8.15,9.03
Gabriel Arias,2024,24,CLE,AL,48,41,30,361.0,146,57,83,6,12,0.959,0.0,-1.0,-3,-10.0,3.49,3.22,2.64,3.33
Justin Turner,2024,39,2TM,AL,48,44,24,359.2,295,253,38,4,12,0.986,-1.0,-5.0,1,3.0,7.28,7.52,5.94,7.25
Justin Turner,2024,39,TOR,AL,17,16,4,118.0,74,61,11,2,2,0.973,-1.0,-11.0,0,0.0,5.49,6.52,4.24,6.31
Justin Turner,2024,39,SEA,AL,31,28,20,241.2,221,192,27,2,10,0.991,0.0,-1.0,1,5.0,8.16,8.01,6.84,7.75
Tomás Nido,2024,30,2TM,NL,48,40,29,359.0,378,357,15,6,2,0.984,0.0,0.0,-2,-7.0,9.33,9.06,7.75,8.94
Tomás Nido,2024,30,NYM,NL,32,25,19,230.1,237,222,10,5,1,0.979,-1.0,-5.0,-2,-10.0,9.07,9.06,7.25,8.94
Tomás Nido,2024,30,CHC,NL,16,15,10,128.2,141,135,5,1,1,0.993,1.0,9.0,0,0.0,9.79,9.07,8.75,8.94
Connor Norby,2024,24,2TM,2LG,41,41,36,359.0,119,45,66,8,8,0.933,-5.0,-16.0,-4,-13.0,2.78,2.92,2.64,2.92
Connor Norby,2024,24,BAL,AL,9,9,5,74.0,18,5,13,0,3,1.0,-1.0,-11.0,1,16.0,2.19,3.96,2.0,3.91
Connor Norby,2024,24,MIA,NL,32,32,31,285.0,101,40,53,8,5,0.921,-4.0,-18.0,-5,-21.0,2.94,2.65,2.82,2.65
Josh Jung,2024,26,TEX,AL,40,40,39,352.1,97,28,66,3,7,0.969,-6.0,-20.0,-3,-10.0,2.4,2.47,2.35,2.44
Ben Rice,2024,25,NYY,AL,50,41,26,350.0,289,273,14,2,21,0.993,0.0,1.0,-1,-3.0,7.38,8.03,5.74,7.94
Nick Loftin,2024,25,KCR,AL,51,39,28,341.1,160,67,89,4,21,0.975,1.0,5.0,4,14.0,4.11,3.67,2.74,3.8
Kerry Carpenter,2024,26,DET,AL,47,39,26,339.2,94,88,5,1,0,0.989,-1.0,-2.0,1,4.0,2.46,2.27,1.98,2.24
James Outman,2024,27,LAD,NL,50,37,28,339.2,97,94,2,1,0,0.99,-5.0,-17.0,-1,-4.0,2.54,2.21,1.92,2.18
Darell Hernaiz,2024,22,OAK,AL,47,39,25,339.0,130,52,75,3,13,0.977,-5.0,-17.0,-5,-18.0,3.37,3.0,2.35,2.95
Junior Caminero,2024,20,TBR,AL,39,39,33,337.1,104,40,58,6,5,0.942,-1.0,-3.0,-1,-4.0,2.61,2.65,2.45,2.58
Derek Hill,2024,28,3TM,2LG,46,37,23,333.0,100,97,2,1,1,0.99,1.0,2.0,-4,-14.0,2.68,2.22,2.15,2.2
Derek Hill,2024,28,2TM,NL,33,29,17,257.1,82,81,1,0,1,1.0,2.0,11.0,-2,-9.0,2.87,2.21,2.48,2.18
Derek Hill,2024,28,TEX,AL,13,8,6,75.2,18,16,1,1,0,0.944,-2.0,-30.0,-2,-32.0,2.02,2.27,1.31,2.24
Derek Hill,2024,28,SFG,NL,4,4,2,32.0,6,6,0,0,0,1.0,-1.0,-53.0,-1,-38.0,1.69,2.22,1.5,2.18
Derek Hill,2024,28,MIA,NL,29,25,15,225.1,76,75,1,0,1,1.0,4.0,20.0,-1,-5.0,3.04,2.21,2.62,2.18
